epoch:0, lr:2.4968057921635433e-05, train_loss:1.015291, test_loss:0.975971
epoch:221, lr:0.00022582205175242736, train_loss:0.609656, test_loss:0.653040

epoch:222, lr:0.00022376837881297088, train_loss:0.609908, test_loss:0.653123

epoch:223, lr:0.00022171649419142357, train_loss:0.609649, test_loss:0.652726

epoch:224, lr:0.00021966653777323087, train_loss:0.609507, test_loss:0.652835

epoch:225, lr:0.0002176186493123847, train_loss:0.609818, test_loss:0.652546

epoch:226, lr:0.00021557296842189574, train_loss:0.609758, test_loss:0.652547

epoch:227, lr:0.00021352963456427567, train_loss:0.609020, test_loss:0.652595

epoch:228, lr:0.00021148878704202903, train_loss:0.608928, test_loss:0.653042

epoch:229, lr:0.00020945056498815668, train_loss:0.609040, test_loss:0.652439

epoch:230, lr:0.00020741510735667058, train_loss:0.608845, test_loss:0.652342

epoch:231, lr:0.00020538255291312045, train_loss:0.608699, test_loss:0.652143

epoch:232, lr:0.00020335304022513383, train_loss:0.608703, test_loss:0.651801

epoch:233, lr:0.0002013267076529689, train_loss:0.608184, test_loss:0.651859

epoch:234, lr:0.00019930369334008282, train_loss:0.608397, test_loss:0.651510

epoch:235, lr:0.00019728413520371283, train_loss:0.608107, test_loss:0.651595

epoch:236, lr:0.00019526817092547445, train_loss:0.608399, test_loss:0.651317

epoch:237, lr:0.00019325593794197496, train_loss:0.608417, test_loss:0.650942

epoch:238, lr:0.00019124757343544439, train_loss:0.607857, test_loss:0.651137

epoch:239, lr:0.00018924321432438202, train_loss:0.608002, test_loss:0.651295

epoch:240, lr:0.0001872429972542231, train_loss:0.607712, test_loss:0.651520

epoch:241, lr:0.00018524705858802314, train_loss:0.607769, test_loss:0.650722

epoch:242, lr:0.00018325553439716064, train_loss:0.607218, test_loss:0.650396

epoch:243, lr:0.00018126856045206147, train_loss:0.607174, test_loss:0.650749

epoch:244, lr:0.0001792862722129423, train_loss:0.607208, test_loss:0.650489

epoch:245, lr:0.00017730880482057598, train_loss:0.606914, test_loss:0.650531

epoch:246, lr:0.00017533629308707826, train_loss:0.606972, test_loss:0.649862
